date,timestamp,reportId,repeatedReportId,mark,firstByte,speedIndex,startRender,visuallyComplete,loadEventStart,fullyLoaded,responseEnd,domLoading,domInteractive,domContentLoadedEventStart,domContentLoadedEventEnd,domComplete,loadEventEnd,weight_HTML,weight_CSS,weight_JAVASCRIPT,weight_IMAGE,weight_OTHER,weight,requests_HTML,requests_CSS,requests_JAVASCRIPT,requests_IMAGE,requests_OTHER,requests,BMA:FCP,Zone,Zone:ZoneAwarePromise,Zone:fetch,Zone:toString,Zone:util,Zone:timers,Zone:blocking,Zone:EventTarget,Zone:on_property,Zone:customElements,Zone:canvas,Zone:XHR,Zone:geolocation,Zone:PromiseRejectionEvent,BMA:FMP,BMA:TTI,repeatedFirstByte,repeatedSpeedIndex,repeatedStartRender,repeatedVisuallyComplete,repeatedLoadEventStart,repeatedFullyLoaded,repeatedResponseEnd,repeatedDomLoading,repeatedDomInteractive,repeatedDomContentLoadedEventStart,repeatedDomContentLoadedEventEnd,repeatedDomComplete,repeatedLoadEventEnd,repeatedWeight_HTML,repeatedWeight_CSS,repeatedWeight_JAVASCRIPT,repeatedWeight_IMAGE,repeatedWeight_OTHER,repeatedWeight,repeatedRequests_HTML,repeatedRequests_CSS,repeatedRequests_JAVASCRIPT,repeatedRequests_IMAGE,repeatedRequests_OTHER,repeatedRequests,repeatedBMA:FCP,repeatedZone,repeatedZone:ZoneAwarePromise,repeatedZone:fetch,repeatedZone:toString,repeatedZone:util,repeatedZone:timers,repeatedZone:blocking,repeatedZone:EventTarget,repeatedZone:on_property,repeatedZone:customElements,repeatedZone:canvas,repeatedZone:XHR,repeatedZone:geolocation,repeatedZone:PromiseRejectionEvent,repeatedBMA:FMP,repeatedBMA:TTI
14 Apr 12:06 am,1555196760,d_5cb26b8fe967904c6f4f27bd,d_5cb26b8fe967904c6f4f27bf,75,128,2513,600,3667,2876,7030,147,147,1784,1784,1787,2876,2903,26709,59770,1247750,234571,266979,1835779,15,1,14,33,47,110,409,488,489,489,490,490,490,491,491,534,566,566,567,567,567,2501,3511,,2220,1167,3200,2417,4618,16,16,1186,1186,1186,2417,2420,2018,,,2918,18320,23256,3,,,6,16,25,100,158,159,159,160,160,160,161,161,190,213,214,214,214,214,1521,2362
14 Apr 1:06 am,1555200360,d_5cb2799fe967904c6f4f3ccf,d_5cb279a0e967904c6f4f3cd1,75,131,2430,434,4067,3122,6986,150,150,1858,1858,1859,3121,3132,25985,59770,1242544,234588,266969,1829856,14,1,13,33,47,108,392,483,484,485,485,486,486,486,486,518,545,545,546,547,547,2511,3108,34,2518,1300,3234,3297,4796,49,49,1313,1313,1314,3297,3300,5078,,,2918,17092,25088,3,,,6,15,24,139,195,196,197,197,198,198,198,198,229,258,259,259,259,260,1631,3104
14 Apr 2:06 am,1555203960,d_5cb287b3e967904c6f4f51e7,d_5cb287b4e967904c6f4f51e8,68,124,2211,400,3667,2996,10691,145,145,1821,1821,1822,2995,3006,37702,59770,1553006,251916,270550,2172944,28,1,30,58,57,174,367,447,448,448,448,449,449,449,450,482,506,507,507,507,508,2545,3021,33,2301,1167,2967,2997,4535,43,43,1183,1183,1184,2997,3002,1749,,,2918,17092,21759,2,,,6,15,23,111,170,170,171,171,172,172,172,172,217,344,344,345,345,345,1450,2872
14 Apr 3:06 am,1555207560,d_5cb295c4e967904c6f4f6763,d_5cb295c5e967904c6f4f6765,68,126,2354,600,3700,3024,10065,143,143,1758,1759,1760,3024,3039,37649,59770,1552947,251101,270377,2171844,28,1,30,56,57,172,417,482,483,484,484,485,485,485,485,519,544,544,545,545,545,2533,3055,,2215,1334,3067,2336,4699,13,13,1358,1358,1359,2336,2353,5079,,,2918,18318,26315,3,,,6,16,25,97,149,150,150,151,151,151,152,152,204,390,391,391,391,392,1810,2301
14 Apr 4:06 am,1555211160,d_5cb2a3d5e967904c6f4f7d0d,d_5cb2a3d5e967904c6f4f7d0e,68,124,2321,567,3634,2887,10722,144,144,1787,1788,1788,2887,2904,37683,59770,1552960,251922,270412,2172747,28,1,30,58,57,174,393,444,446,446,447,447,447,447,448,481,507,507,507,508,508,2545,2930,,2138,1167,2734,3063,4602,14,14,1191,1191,1192,3063,3066,1749,,,2918,17090,21757,2,,,6,15,23,92,162,163,164,164,165,165,165,165,199,223,223,223,224,224,1513,2728
14 Apr 5:06 am,1555214760,d_5cb2b1e4e967904c6f4f945e,d_5cb2b1e4e967904c6f4f945f,68,176,2233,467,3500,2884,10613,196,196,1780,1780,1781,2884,2892,37816,59770,1552918,252276,270983,2173763,28,1,30,58,58,175,385,484,486,487,488,489,489,489,489,523,546,547,547,547,547,2441,2973,,2292,1200,2934,2941,4435,15,15,1195,1195,1196,2940,2952,1750,,,2918,17089,21757,2,,,6,15,23,91,157,157,158,158,159,159,159,159,214,348,348,349,349,350,1460,2843
14 Apr 6:06 am,1555218360,d_5cb2bfefe967904c6f4fac7f,d_5cb2bfefe967904c6f4fac80,75,125,2562,434,3867,3715,6853,140,140,1756,1757,1758,3715,3727,25985,59770,1242544,235307,265961,1829567,14,1,13,33,47,108,355,461,462,463,463,464,464,464,464,500,525,526,526,526,526,2310,3708,34,2590,1267,3367,3423,4945,54,54,1316,1316,1317,3423,3426,1748,,,2918,17091,21757,2,,,6,15,23,144,197,198,199,199,200,200,200,200,238,262,262,262,263,263,1655,3257
14 Apr 7:06 am,1555221960,d_5cb2ce02e967904c6f4fc38c,d_5cb2ce03e967904c6f4fc38e,68,126,2471,467,3700,2990,9985,146,146,1812,1813,1814,2990,3000,38420,59770,1558186,251618,270517,2178511,29,1,31,57,57,175,457,519,520,521,521,521,522,522,522,558,597,597,597,598,598,2517,3132,32,2547,1267,3300,3307,4888,53,53,1279,1279,1279,3307,3310,2017,,,2918,17090,22025,3,,,6,15,24,130,181,182,183,183,183,184,184,184,233,272,272,273,273,273,1542,3181
14 Apr 8:06 am,1555225560,d_5cb2dc20e967904c6f4fdb6d,d_5cb2dc20e967904c6f4fdb6f,75,128,2621,667,3800,2890,7752,150,150,1785,1785,1786,2890,2905,26824,59770,1242544,236006,266334,1831478,15,1,13,35,47,111,460,512,514,514,514,516,516,517,517,555,580,580,580,581,581,2513,3566,,2350,1334,3334,2563,4869,15,15,1303,1303,1304,2562,2565,5079,,,2918,17868,25865,3,,,6,16,25,104,165,166,167,167,167,167,168,168,223,283,283,283,284,284,1621,2505
14 Apr 9:06 am,1555229160,d_5cb2ea23e967904c6f4ff334,d_5cb2ea25e967904c6f4ff336,75,128,2618,434,4267,3085,7365,145,145,1800,1801,1801,3085,3100,25949,59770,1242545,234584,266334,1829182,14,1,13,33,47,108,377,471,472,473,473,473,473,474,474,508,534,535,535,535,535,2555,3399,,2418,1134,3167,3185,4753,21,21,1182,1182,1183,3185,3188,5079,,,2918,17092,25089,3,,,6,15,24,110,161,162,163,163,163,163,164,164,195,219,220,220,220,220,1514,3017
